"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","TradeFlowName","TradeFlowCode","2018 in 1000 USD ","2019 in 1000 USD ","2020 in 1000 USD ","2021 in 1000 USD ","2022 in 1000 USD ","2023 in 1000 USD "
"H5","AGO"," Total","Angola","GNQ","Equatorial Guinea","Export",6,2068.603,1090.118,52.933,373.465,226.354,
"H5","AGO"," Total","Angola","GNQ","Equatorial Guinea","Import",5,4007.552,1265.036,970.236,126.366,240.896,
"H5","AGO"," Total","Angola","GRC","Greece","Export",6,6.473,22568.132,8787.704,95018.862,75.42,
"H5","AGO"," Total","Angola","GRC","Greece","Import",5,1739.769,1443.291,1553.873,2381.594,3419.027,
"H5","AGO"," Total","Angola","GRL","Greenland","Import",5,,18.822,,,,
"H5","AGO"," Total","Angola","GTM","Guatemala","Import",5,30.321,63.07,349.798,40.698,84.211,
"H5","AGO"," Total","Angola","GUY","Guyana","Export",6,12.433,9.859,4.33,,0.578,
"H5","AGO"," Total","Angola","GUY","Guyana","Import",5,94.056,1.573,33.993,16.332,67.302,
"H5","AGO"," Total","Angola","HKG","Hong Kong, China","Export",6,23811.982,19213.744,35051.884,301.331,128232.624,
"H5","AGO"," Total","Angola","HKG","Hong Kong, China","Import",5,42061.595,29438.324,32089.496,46002.835,82703.608,
"H5","AGO"," Total","Angola","HND","Honduras","Import",5,14.464,309.329,291.5,48.56,215.412,
"H5","AGO"," Total","Angola","HRV","Croatia","Export",6,87.325,,,0.503,0.001,
"H5","AGO"," Total","Angola","HRV","Croatia","Import",5,3722.979,558.174,474.988,841.221,8139.366,
"H5","AGO"," Total","Angola","HTI","Haiti","Import",5,,9.257,,0.578,42.986,
"H5","AGO"," Total","Angola","HUN","Hungary","Export",6,0.097,573.435,,3.697,291.978,
"H5","AGO"," Total","Angola","HUN","Hungary","Import",5,103139.766,1771.205,8367.661,8044.927,6944.713,
"H5","AGO"," Total","Angola","IDN","Indonesia","Export",6,575477.283,590.906,26491.756,444254.841,889408.87,
"H5","AGO"," Total","Angola","IDN","Indonesia","Import",5,139307.4,135551.987,121915.342,164768.843,386454.458,
"H5","AGO"," Total","Angola","IND","India","Export",6,3768940.128,3376931.028,1611519.762,3008283.84,5134810.011,
"H5","AGO"," Total","Angola","IND","India","Import",5,494175.966,474420.177,453823.623,745723.527,1082861.84,
"H5","AGO"," Total","Angola","IOT","British Indian Ocean Ter.","Import",5,1.606,3.312,0.665,0.417,0.867,
"H5","AGO"," Total","Angola","IRL","Ireland","Export",6,1356.868,5.393,2.098,1330.433,4828.778,
"H5","AGO"," Total","Angola","IRL","Ireland","Import",5,13203.596,15552.58,19704.26,22691.723,33264.466,
"H5","AGO"," Total","Angola","IRN","Iran, Islamic Rep.","Export",6,0.469,3.546,,,,
"H5","AGO"," Total","Angola","IRN","Iran, Islamic Rep.","Import",5,1756.271,293.324,303.142,650.352,1172.873,
"H5","AGO"," Total","Angola","IRQ","Iraq","Export",6,276.519,32.232,22.064,1.927,2.405,
"H5","AGO"," Total","Angola","IRQ","Iraq","Import",5,2.494,7.607,5.021,5.909,35.638,
"H5","AGO"," Total","Angola","ISL","Iceland","Export",6,0.214,0.055,0.172,5.651,36.313,
"H5","AGO"," Total","Angola","ISL","Iceland","Import",5,54.836,674.937,547.271,223.839,122.181,
"H5","AGO"," Total","Angola","ISR","Israel","Export",6,452418.972,164859.717,81511.091,90721.874,21051.028,
"H5","AGO"," Total","Angola","ISR","Israel","Import",5,29983.049,11541.131,11339.027,10888.086,16531.658,
"H5","AGO"," Total","Angola","ITA","Italy","Export",6,468143.597,779994.16,299277.159,630907.231,1809342.302,
"H5","AGO"," Total","Angola","ITA","Italy","Import",5,331543.309,318920.065,232813.787,426594.164,363406.745,
"H5","AGO"," Total","Angola","JAM","Jamaica","Export",6,,2.265,,,,
"H5","AGO"," Total","Angola","JAM","Jamaica","Import",5,4.947,0.902,,13.38,430.347,
"H5","AGO"," Total","Angola","JOR","Jordan","Export",6,,,,,3.69,
"H5","AGO"," Total","Angola","JOR","Jordan","Import",5,3313.624,5454.699,2938.075,1481.73,2353.894,
"H5","AGO"," Total","Angola","JPN","Japan","Export",6,264299.098,57407.36,51816.71,88265.965,1138.218,
"H5","AGO"," Total","Angola","JPN","Japan","Import",5,71694.982,79429.653,94044.829,138248.953,252293.933,
"H5","AGO"," Total","Angola","KAZ","Kazakhstan","Export",6,198.364,29.254,17.857,1.734,16.597,
"H5","AGO"," Total","Angola","KAZ","Kazakhstan","Import",5,144.403,64.402,40.952,50.666,49.074,
"H5","AGO"," Total","Angola","KEN","Kenya","Export",6,1499.694,8557.602,202.565,27.911,540.843,
"H5","AGO"," Total","Angola","KEN","Kenya","Import",5,28180.104,1166.75,6696.01,2750.431,2448.993,
"H5","AGO"," Total","Angola","KGZ","Kyrgyz Republic","Import",5,848.636,0.918,,0.562,,
"H5","AGO"," Total","Angola","KHM","Cambodia","Export",6,,,,4.729,,
"H5","AGO"," Total","Angola","KHM","Cambodia","Import",5,16.061,88.94,14.264,38.703,74.879,
"H5","AGO"," Total","Angola","KNA","St. Kitts and Nevis","Export",6,,,0,,,
"H5","AGO"," Total","Angola","KNA","St. Kitts and Nevis","Import",5,24.77,,7.885,,0.425,
"H5","AGO"," Total","Angola","KOR","Korea, Rep.","Export",6,146409.668,53322.731,55819.585,91051.443,1.735,
"H5","AGO"," Total","Angola","KOR","Korea, Rep.","Import",5,273473.484,759958.996,284832.458,217824.896,1641623.733,
"H5","AGO"," Total","Angola","KWT","Kuwait","Export",6,125073.214,45955.109,46884.348,44973.85,44.613,
"H5","AGO"," Total","Angola","KWT","Kuwait","Import",5,6107.547,5269.938,2081.97,4713.912,3198.25,
"H5","AGO"," Total","Angola","LAO","Lao PDR","Export",6,0.665,,,,,
"H5","AGO"," Total","Angola","LAO","Lao PDR","Import",5,53.54,112.67,34.175,5.554,1235.893,
"H5","AGO"," Total","Angola","LBN","Lebanon","Export",6,798.983,227.498,178.239,203.008,196.426,
"H5","AGO"," Total","Angola","LBN","Lebanon","Import",5,67733.843,33097.175,14188.703,21407.261,28676.21,
"H5","AGO"," Total","Angola","LBR","Liberia","Export",6,12.657,70.011,11.609,65.764,51.012,
"H5","AGO"," Total","Angola","LBR","Liberia","Import",5,11423.457,9219.037,27119.864,844.617,3790.303,
"H5","AGO"," Total","Angola","LBY","Libya","Export",6,40.722,14.081,1.119,,,
"H5","AGO"," Total","Angola","LBY","Libya","Import",5,5.519,,,,,
"H5","AGO"," Total","Angola","LCA","St. Lucia","Import",5,,105.31,,401.758,114.588,
"H5","AGO"," Total","Angola","LKA","Sri Lanka","Import",5,3424.296,3788.907,1109.153,2056.831,12988.888,
"H5","AGO"," Total","Angola","LSO","Lesotho","Export",6,1.598,,,2.119,,
"H5","AGO"," Total","Angola","LSO","Lesotho","Import",5,,0.459,0.251,2.805,0.469,
"H5","AGO"," Total","Angola","LTU","Lithuania","Export",6,1.897,,,,,
"H5","AGO"," Total","Angola","LTU","Lithuania","Import",5,16563.462,8162.351,26915.129,20736.875,4342.326,
"H5","AGO"," Total","Angola","LUX","Luxembourg","Export",6,,,1.609,3.402,0.448,
"H5","AGO"," Total","Angola","LUX","Luxembourg","Import",5,1398.38,2012.084,1293.295,783.641,1602.114,
"H5","AGO"," Total","Angola","LVA","Latvia","Export",6,128.739,,,,,
"H5","AGO"," Total","Angola","LVA","Latvia","Import",5,7279.76,7989.046,21102.106,4917.908,57783.25,
